,Domain,Course,Similarity
517,IT & Data Management,CSE 333,0.1272021071789296
518,Software Engineering,CSE 333,0.10133720510394166
519,Finance,CSE 333,0.09813917055726051
520,Legal & Government Relations,CSE 333,0.09118364721928772
521,People Operations,CSE 333,0.08508711886641226
522,Product & Customer Support,CSE 333,0.0820527351216266
523,Manufacturing & Supply Chain,CSE 333,0.08180747992408119
524,Business Strategy,CSE 333,0.07920802553723517
525,Sales & Account Management,CSE 333,0.06958905244736295
526,Sales Operations,CSE 333,0.06779410925350692
527,Developer Relations,CSE 333,0.06282357314270676
528,Administrative,CSE 333,0.0450615513285524
529,Hardware Engineering,CSE 334,0.13690391122363507
530,Network Engineering,CSE 334,0.1328759345691651
531,IT & Data Management,CSE 334,0.1270446741953492
532,User Experience & Design,CSE 334,0.10778538966551424
533,Finance,CSE 334,0.1077213759534061
534,Data Center & Network,CSE 334,0.10418875841423869
535,Partnerships,CSE 334,0.09904593089595437
536,Real Estate & Workplace Services,CSE 334,0.09904593089595437
537,Technical Infrastructure,CSE 334,0.09463293072767556
538,Program Management,CSE 334,0.08998655522009358
539,Manufacturing & Supply Chain,CSE 334,0.08921083451714366
540,Technical Solutions,CSE 334,0.08861871175467968
541,People Operations,CSE 334,0.08276024139486253
542,Marketing & Communications,CSE 334,0.08034099890501238
543,Software Engineering,CSE 334,0.079718191025313
544,Technical Writing,CSE 334,0.0738148869597353
545,Legal & Government Relations,CSE 334,0.07332307863980532
546,Product & Customer Support,CSE 334,0.06976529052481055
547,Business Strategy,CSE 334,0.06695786793134176
548,Sales & Account Management,CSE 334,0.06502366526983679
549,Administrative,CSE 334,0.057401766965631394
550,Sales Operations,CSE 334,0.05420010723173618
551,Developer Relations,CSE 334,0.03346996009349823
552,Partnerships,CSE 337,0.1582830629122327
553,Real Estate & Workplace Services,CSE 337,0.1582830629122327
554,IT & Data Management,CSE 337,0.14139724057167768
555,Program Management,CSE 337,0.14098914836358745
556,Data Center & Network,CSE 337,0.1395006764214486
557,Technical Writing,CSE 337,0.1392202021961566
558,Software Engineering,CSE 337,0.12834616511827335
