,Domain,Course,Similarity
281,"Business Lead, Partner to Partner Exchange, Google Cloud",CSE 101,0.09344712584279477
282,"Cloud Consultant, Professional Services, Google Cloud",CSE 101,0.09344712584279477
283,"People Analyst, Reporting and Insights",CSE 101,0.09344712584279477
284,"Associate Commercial Counsel, Google Cloud",CSE 101,0.09325917609967291
285,"Policy Specialist, Extended Workforce Solutions",CSE 101,0.09246148890815675
286,"Administrative Business Partner, Hardware and Display Ads",CSE 101,0.09243763205595315
287,"Hardware System Validation Engineer, Consumer Hardware",CSE 101,0.0923294537642505
288,"APAC Accounting Lead, Non-Ads Products",CSE 101,0.09232826549559832
289,Candidate Offer Assessment Specialist (Tech),CSE 101,0.09232826549559832
290,Mobility Consultant,CSE 101,0.09232826549559832
291,"Operations Analyst, Sales, Google Cloud",CSE 101,0.09232826549559832
292,"Product Marketing Manager, Consumer Strategy",CSE 101,0.09232826549559832
293,Public Policy and Government Relations Manager,CSE 101,0.09232826549559832
294,"SMB Sales Manager, International, Google Cloud",CSE 101,0.09232826549559832
295,Account Strategist (Hebrew),CSE 101,0.09154653497971595
296,"Operations Manager, Global Partnerships",CSE 101,0.09154653497971595
297,"Strategic Partner Manager, Product Partnerships (Geo)",CSE 101,0.09154653497971595
298,"Analytical Lead, Home and Personal Care Vertical",CSE 101,0.09131933483295143
299,"Analytical Lead, Media and Entertainment Vertical",CSE 101,0.09131933483295143
300,"Analytical Lead, Pharmaceutical Vertical",CSE 101,0.09131933483295143
301,"Business Intern, Veteran",CSE 101,0.09131933483295143
302,"Business Strategy Lead, Phones Business",CSE 101,0.09131933483295143
303,"Field Sales Representative, Federal Government, Google Cloud",CSE 101,0.09131933483295143
304,"Product/Commercial Counsel (EMEA), Display, Analytics and Syndication",CSE 101,0.09131933483295143
305,Regional Counsel,CSE 101,0.09131933483295143
306,"User Experience Researcher, Google Cloud Support",CSE 101,0.09128427882678807
307,Senior Credit Research Analyst,CSE 101,0.09117567681241781
308,"Technical Specialist, Google Technical Services, Ads",CSE 101,0.09064423625241033
309,People Consultant Pod Manager,CSE 101,0.09044190491549671
310,"Developer Advocate, Web",CSE 101,0.09041154230944812
311,Performance Specialist (Korean),CSE 101,0.09016596814617514
312,Search Specialist (Swedish),CSE 101,0.09016596814617514
313,"Business Systems Analyst, Financial Applications",CSE 101,0.09010098037542776
314,"Finance Manager, Google Technical Services",CSE 101,0.09010098037542776
315,"Global Supply Chain and Sourcing Manager, CPUs, Consumer Hardware",CSE 101,0.09010098037542776
316,"Product Operations and Strategy Lead, Engineering",CSE 101,0.09010098037542776
317,"Publisher Intelligence Analyst, Online Partnerships Group",CSE 101,0.09010098037542776
318,Software Engineering Manager,CSE 101,0.09010098037542776
319,"Alliances Marketing Manager, Google Cloud",CSE 101,0.09008775347610935
320,"Platform Sales Manager, DoubleClick, Media Buying Solutions",CSE 101,0.0898406377993524
321,"Revenue Accountant, Cloud Business Finance",CSE 101,0.0895449411123991
322,"Big Data Product Specialist, Google Cloud (English)",CSE 101,0.08922025384381413
323,"Product Marketing Manager, Direct SMB Acquisitions",CSE 101,0.08906301239039749
324,"Quality Program Manager, Global Vendor Operations, YouTube",CSE 101,0.08898308165371419
325,"Director, Global Payroll Operations",CSE 101,0.0889237786846934
326,"Strategy Associate, Search and Assistant Distribution, Global Partnerships",CSE 101,0.0889237786846934
327,Video Algorithm Engineer,CSE 101,0.0889237786846934
328,"Quantitative Analyst Lead, Trust and Safety",CSE 101,0.08815188518492505
329,"Global Sourcing and Supply Manager, Camera, Consumer Hardware",CSE 101,0.08773957057856023
330,Head of Creative Agencies,CSE 101,0.08773957057856023
331,"Head of India Inside Sales, Google Cloud",CSE 101,0.08773957057856023
